date,name,side,image
2014-09-19,iPhone 6 and iPhone 6 Plus,top,/iPhone6.jpeg
2015-09-25,iPhone 6s and iPhone 6s Plus,left,/iPhone6s.jpeg
2016-03-31,iPhone SE (1st generation),top,/iPhoneSE.jpeg
2016-09-16,iPhone 7 and iPhone 7 Plus,left,/iPhone7.jpeg
2017-09-22,"iPhone 8, iPhone 8 Plus, and iPhone X",top,/iPhone8.jpeg
2018-09-21,iPhone XS and iPhone XS Max,top,/iPhoneXS.jpeg
2018-10-26,iPhone XR,top,/iPhoneXR.jpeg
2019-09-20,"iPhone 11, iPhone 11 Pro, and iPhone 11 Pro Max",left,/iPhone11.jpeg
2015-04-24,Apple Watch (1st generation),top,/Watch1st.jpeg
2016-09-16,Apple Watch Series 2,top,/Watch2nd.jpeg
2017-09-22,Apple Watch Series 3,left,/Watch3rd.jpeg
2018-09-21,Apple Watch Series 4,left,/Watch4th.jpeg
2019-09-20,Apple Watch Series 5,top,/Watch5th.jpeg
2015-03-09,MacBook (12-inch Early 2015),top,/Mac2015.jpeg
2016-04-19,MacBook (12-inch Early 2016),left,/Mac2016.jpeg
2018-07-12,MacBook Pro (13-inch & 15-inch Mid 2018 with Touch Bar),top,/MacPro.jpeg
2019-11-13,MacBook Pro (16-inch Late 2019),left,/MacPro16.jpeg